iter	Passed	Remaining
400	15190	22690
401	15225	22648
402	15253	22596
403	15286	22551
404	15331	22523
405	15364	22479
406	15398	22435
407	15429	22387
408	15455	22332
409	15479	22275
410	15503	22217
411	15528	22162
412	15555	22108
413	15581	22054
414	15607	22000
415	15636	21950
416	15661	21896
417	15682	21835
418	15711	21786
419	15734	21728
420	15754	21666
421	15775	21607
422	15801	21553
423	15824	21497
424	15845	21438
425	15869	21382
426	15889	21322
427	15925	21283
428	15957	21239
429	15988	21193
430	16011	21138
431	16033	21080
432	16055	21023
433	16080	20970
434	16103	20915
435	16124	20858
436	16148	20804
437	16172	20751
438	16195	20695
439	16219	20643
440	16242	20588
441	16263	20532
442	16286	20477
443	16309	20423
444	16329	20366
445	16353	20313
446	16377	20261
447	16400	20208
448	16422	20152
449	16446	20101
450	16471	20050
451	16499	20003
452	16529	19959
453	16555	19909
454	16584	19864
455	16609	19814
456	16637	19768
457	16666	19723
458	16698	19681
459	16727	19636
460	16756	19592
461	16784	19545
462	16815	19503
463	16846	19460
464	16872	19412
465	16897	19363
466	16919	19310
467	16945	19263
468	16969	19212
469	16995	19164
470	17017	19113
471	17043	19065
472	17065	19013
473	17094	18969
474	17115	18917
475	17142	18871
476	17162	18817
477	17185	18766
478	17203	18712
479	17226	18662
480	17249	18612
481	17271	18561
482	17294	18512
483	17315	18460
484	17338	18411
485	17361	18362
486	17383	18311
487	17404	18260
488	17428	18212
489	17456	18168
490	17480	18121
491	17498	18067
492	17519	18017
493	17546	17972
494	17572	17927
495	17594	17878
496	17617	17830
497	17637	17779
498	17660	17731
499	17685	17685
500	17707	17636
501	17728	17587
502	17750	17538
503	17770	17488
504	17797	17445
505	17818	17396
506	17838	17346
507	17857	17295
508	17881	17248
509	17899	17197
510	17917	17146
511	17943	17102
512	17966	17055
513	17989	17009
514	18010	16961
515	18034	16916
516	18056	16868
517	18078	16821
518	18098	16773
519	18119	16725
520	18141	16679
521	18161	16630
522	18183	16583
523	18203	16536
524	18223	16487
525	18247	16443
526	18268	16396
527	18288	16348
528	18309	16302
529	18328	16253
530	18349	16206
531	18374	16163
532	18393	16116
533	18417	16071
534	18444	16030
535	18465	15984
536	18487	15939
537	18510	15895
538	18531	15849
539	18552	15803
540	18589	15772
541	18621	15735
542	18658	15703
543	18694	15670
544	18721	15629
545	18746	15587
546	18776	15549
547	18800	15507
548	18826	15465
549	18851	15424
550	18876	15381
551	18899	15338
552	18923	15296
553	18947	15253
554	18973	15213
555	19001	15174
556	19041	15144
557	19068	15104
558	19095	15064
559	19121	15024
560	19154	14989
561	19189	14955
562	19215	14914
563	19242	14875
564	19270	14836
565	19296	14796
566	19326	14758
567	19352	14718
568	19377	14677
569	19402	14636
570	19430	14598
571	19458	14560
572	19501	14532
573	19537	14500
574	19573	14467
575	19612	14436
576	19640	14398
577	19672	14363
578	19696	14321
579	19721	14280
580	19745	14239
581	19773	14201
582	19799	14162
583	19826	14123
584	19855	14085
585	19879	14044
586	19903	14003
587	19931	13965
588	19962	13929
589	19989	13890
590	20019	13854
591	20043	13813
592	20068	13773
593	20094	13734
594	20121	13695
595	20146	13656
596	20176	13620
597	20214	13588
598	20245	13553
599	20309	13539
600	20338	13502
601	20372	13468
602	20398	13429
603	20426	13392
604	20463	13360
605	20490	13322
606	20517	13283
607	20554	13252
608	20592	13221
609	20623	13185
610	20653	13149
611	20683	13113
612	20711	13075
613	20734	13034
614	20765	12999
615	20807	12971
616	20835	12933
617	20860	12894
618	20884	12854
619	20912	12817
620	20939	12779
621	20965	12740
622	20994	12704
623	21037	12676
624	21070	12642
625	21094	12603
626	21119	12564
627	21145	12525
628	21176	12490
629	21203	12453
630	21234	12417
631	21262	12380
632	21286	12341
633	21311	12302
634	21336	12264
635	21362	12226
636	21385	12186
637	21411	12148
638	21435	12110
639	21465	12074
640	21493	12037
641	21520	12000
642	21546	11962
643	21584	11932
644	21611	11894
645	21640	11858
646	21665	11820
647	21695	11785
648	21742	11759
649	21774	11724
650	21799	11686
651	21825	11649
652	21851	11611
653	21876	11574
654	21905	11538
655	21933	11501
656	21961	11465
657	21986	11427
658	22012	11390
659	22038	11353
660	22063	11315
661	22088	11277
662	22114	11240
663	22138	11202
664	22163	11164
665	22187	11127
666	22213	11090
667	22240	11053
668	22267	11017
669	22293	10980
670	22327	10947
671	22359	10913
672	22385	10876
673	22410	10839
674	22440	10804
675	22491	10780
676	22540	10754
677	22565	10716
678	22590	10679
679	22618	10644
680	22650	10610
681	22676	10573
682	22701	10536
683	22723	10498
684	22750	10461
685	22777	10426
686	22803	10389
687	22825	10351
688	22858	10317
689	22884	10281
690	22910	10245
691	22935	10208
692	22961	10172
693	22991	10137
694	23018	10101
695	23052	10069
696	23077	10032
697	23103	9996
698	23135	9962
699	23166	9928
700	23197	9894
701	23223	9858
702	23248	9821
703	23273	9785
704	23300	9749
705	23326	9713
706	23351	9677
707	23376	9641
708	23401	9604
709	23432	9570
710	23456	9534
711	23485	9499
712	23512	9464
713	23539	9429
714	23564	9392
715	23593	9358
716	23628	9326
717	23656	9291
718	23680	9254
719	23706	9219
720	23732	9183
721	23758	9148
722	23781	9111
723	23809	9076
724	23836	9041
725	23864	9006
726	23890	8971
727	23919	8936
728	23943	8900
729	23970	8865
730	24005	8833
731	24033	8799
732	24066	8766
733	24093	8731
734	24126	8698
735	24151	8662
736	24176	8627
737	24202	8592
738	24227	8556
739	24251	8520
740	24278	8485
741	24303	8450
742	24332	8416
743	24357	8380
744	24383	8345
745	24415	8313
746	24442	8278
747	24467	8243
748	24492	8207
749	24517	8172
750	24550	8139
